Continuity Violations Report: Traj_8_[1-39]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 39

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 0
  Segment 1: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 1
  Segment 2: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 2
  Segment 3: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 3
  Segment 4: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 4
  Segment 5: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 5
  Segment 6: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 6
  Segment 7: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 7
  Segment 8: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 8
  Segment 9: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 9
  Segment 10: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 10
  Segment 11: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 11
  Segment 12: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 12
  Segment 13: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 13
  Segment 14: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 14
  Segment 15: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 15
  Segment 16: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 16
  Segment 17: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 17
  Segment 18: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 18
  Segment 19: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 19
  Segment 20: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 20
  Segment 21: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 21
  Segment 22: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 22
  Segment 23: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 23
  Segment 24: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 24
  Segment 25: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 25
  Segment 26: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 26
  Segment 27: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 27
  Segment 28: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 28
  Segment 29: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 29
  Segment 30: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 30
  Segment 31: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 31
  Segment 32: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 32
  Segment 33: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 33
  Segment 34: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 34
  Segment 35: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 35
  Segment 36: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 36
  Segment 37: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 37
  Segment 38: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 38
  Segment 0: Magnitude=5.6792, Type=large_step, Details=Step norm 325.4° exceeds limit 30.0°
  Segment 1: Magnitude=10.9221, Type=large_step, Details=Step norm 625.8° exceeds limit 30.0°
  Segment 2: Magnitude=9.5819, Type=large_step, Details=Step norm 549.0° exceeds limit 30.0°
  Segment 3: Magnitude=9.9706, Type=large_step, Details=Step norm 571.3° exceeds limit 30.0°
  Segment 4: Magnitude=9.4000, Type=large_step, Details=Step norm 538.6° exceeds limit 30.0°
  Segment 5: Magnitude=6.3226, Type=large_step, Details=Step norm 362.3° exceeds limit 30.0°
  Segment 6: Magnitude=5.0210, Type=large_step, Details=Step norm 287.7° exceeds limit 30.0°
  Segment 7: Magnitude=7.6032, Type=large_step, Details=Step norm 435.6° exceeds limit 30.0°
  Segment 8: Magnitude=8.0914, Type=large_step, Details=Step norm 463.6° exceeds limit 30.0°
  Segment 9: Magnitude=9.7189, Type=large_step, Details=Step norm 556.8° exceeds limit 30.0°
  Segment 10: Magnitude=6.8565, Type=large_step, Details=Step norm 392.8° exceeds limit 30.0°
  Segment 12: Magnitude=8.0599, Type=large_step, Details=Step norm 461.8° exceeds limit 30.0°
  Segment 13: Magnitude=12.1347, Type=large_step, Details=Step norm 695.3° exceeds limit 30.0°
  Segment 14: Magnitude=6.9228, Type=large_step, Details=Step norm 396.6° exceeds limit 30.0°
